alpha,gamma,human,zombie,dead,human_ratio
0.45,1e-08,4444,159,397,0.8888
0.45,5e-08,4416,205,379,0.8832
0.45,1e-07,4531,126,343,0.9062
0.45,5e-07,4465,176,359,0.893
0.45,1e-06,4487,170,343,0.8974
0.45,5e-06,4457,184,359,0.8914
0.45,1e-05,4443,191,366,0.8886
0.45,5e-05,4545,84,371,0.909
0.45,0.0001,4535,61,404,0.907
0.45,0.0005,4645,0,355,0.929
0.5,1e-08,4384,233,383,0.8768
0.5,5e-08,4358,261,381,0.8716
0.5,1e-07,4332,285,383,0.8664
0.5,5e-07,4281,319,400,0.8562
0.5,1e-06,4394,228,378,0.8788
0.5,5e-06,4325,267,408,0.865
0.5,1e-05,4340,276,384,0.868
0.5,5e-05,4393,180,427,0.8786
0.5,0.0001,4443,104,453,0.8886
0.5,0.0005,4632,1,367,0.9264
0.55,1e-08,4252,335,413,0.8504
0.55,5e-08,4194,401,405,0.8388
0.55,1e-07,4195,380,425,0.839
0.55,5e-07,4226,366,408,0.8452
0.55,1e-06,4182,396,422,0.8364
0.55,5e-06,4246,338,416,0.8492
0.55,1e-05,4173,378,449,0.8346
0.55,5e-05,4260,240,500,0.852
0.55,0.0001,4401,127,472,0.8802
0.55,0.0005,4604,0,396,0.9208
0.6,1e-08,4010,556,434,0.802
0.6,5e-08,3915,636,449,0.783
0.6,1e-07,4066,500,434,0.8132
0.6,5e-07,4051,521,428,0.8102
0.6,1e-06,4008,544,448,0.8016
0.6,5e-06,4023,531,446,0.8046
0.6,1e-05,4032,506,462,0.8064
0.6,5e-05,4072,365,563,0.8144
0.6,0.0001,4203,261,536,0.8406
0.6,0.0005,4543,3,454,0.9086
0.65,1e-08,3730,804,466,0.746
0.65,5e-08,3625,905,470,0.725
0.65,1e-07,3784,781,435,0.7568
0.65,5e-07,3837,753,410,0.7674
0.65,1e-06,3775,750,475,0.755
0.65,5e-06,3831,709,460,0.7662
0.65,1e-05,3641,809,550,0.7282
0.65,5e-05,3864,575,561,0.7728
0.65,0.0001,4030,338,632,0.806
0.65,0.0005,4535,2,463,0.907
0.7,1e-08,3324,1190,486,0.6648
0.7,5e-08,3219,1299,482,0.6438
0.7,1e-07,3410,1154,436,0.682
0.7,5e-07,3378,1144,478,0.6756
0.7,1e-06,3324,1206,470,0.6648
0.7,5e-06,3152,1335,513,0.6304
0.7,1e-05,3197,1277,526,0.6394
0.7,5e-05,3396,915,689,0.6792
0.7,0.0001,3507,630,863,0.7014
0.7,0.0005,4420,24,556,0.884
0.75,1e-08,2709,1848,443,0.5418
0.75,5e-08,2757,1789,454,0.5514
0.75,1e-07,2790,1753,457,0.558
0.75,5e-07,2879,1698,423,0.5758
0.75,1e-06,3194,1387,419,0.6388
0.75,5e-06,2885,1681,434,0.577
0.75,1e-05,3003,1481,516,0.6006
0.75,5e-05,2955,1270,775,0.591
0.75,0.0001,3413,718,869,0.6826
0.75,0.0005,4457,11,532,0.8914
0.8,1e-08,2229,2408,363,0.4458
0.8,5e-08,2231,2384,385,0.4462
0.8,1e-07,2204,2438,358,0.4408
0.8,5e-07,2578,2082,340,0.5156
0.8,1e-06,2183,2430,387,0.4366
0.8,5e-06,2194,2386,420,0.4388
0.8,1e-05,2271,2263,466,0.4542
0.8,5e-05,2627,1578,795,0.5254
0.8,0.0001,2913,1181,906,0.5826
0.8,0.0005,4162,61,777,0.8324
0.85,1e-08,1142,3584,274,0.2284
0.85,5e-08,1664,3118,218,0.3328
0.85,1e-07,1205,3553,242,0.241
0.85,5e-07,1186,3586,228,0.2372
0.85,1e-06,1343,3404,253,0.2686
0.85,5e-06,1409,3290,301,0.2818
0.85,1e-05,1464,3202,334,0.2928
0.85,5e-05,1617,2537,846,0.3234
0.85,0.0001,2287,1650,1063,0.4574
0.85,0.0005,4167,50,783,0.8334
0.9,1e-08,20,4980,0,0.004
0.9,5e-08,0,4999,1,0.0
0.9,1e-07,0,4998,2,0.0
0.9,5e-07,161,4833,6,0.0322
0.9,1e-06,37,4938,25,0.0074
0.9,5e-06,0,4909,91,0.0
0.9,1e-05,193,4623,184,0.0386
0.9,5e-05,575,3598,827,0.115
0.9,0.0001,1296,2476,1228,0.2592
0.9,0.0005,3456,251,1293,0.6912
